video_id,config_num,config
7,5,"[{'ad_id': 3, 'time': 183, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 1, 'time': 327, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 0, 'time': 505, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
7,6,"[{'ad_id': 6, 'time': 193, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 3, 'time': 307, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 429, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
7,7,"[{'ad_id': 7, 'time': 171, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 3, 'time': 343, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 466, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
7,8,"[{'ad_id': 7, 'time': 193, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 4, 'time': 346, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 0, 'time': 466, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
7,9,"[{'ad_id': 2, 'time': 141, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 1, 'time': 293, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 5, 'time': 466, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
7,10,"[{'ad_id': 7, 'time': 121, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 1, 'time': 349, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 2, 'time': 466, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
8,1,"[{'ad_id': 6, 'time': 77, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 3, 'time': 236, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 1, 'time': 425, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
8,2,"[{'ad_id': 1, 'time': 128, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 4, 'time': 368, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 7, 'time': 463, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
8,3,"[{'ad_id': 5, 'time': 110, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 2, 'time': 279, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 0, 'time': 384, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
8,4,"[{'ad_id': 6, 'time': 236, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 1, 'time': 356, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 3, 'time': 474, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
8,5,"[{'ad_id': 5, 'time': 127, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 4, 'time': 253, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 1, 'time': 457, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
8,6,"[{'ad_id': 4, 'time': 112, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 2, 'time': 332, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 0, 'time': 480, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
8,7,"[{'ad_id': 4, 'time': 73, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 2, 'time': 346, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 0, 'time': 485, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
8,8,"[{'ad_id': 5, 'time': 114, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 0, 'time': 231, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 3, 'time': 344, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
8,9,"[{'ad_id': 5, 'time': 109, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 6, 'time': 281, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 480, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
